id,title,location,category,price,poster,date_posted,classification,confidence,is_remote,reasoning,description_preview,description_source,was_reanalyzed,url
170,je me proprose,Ménage - Auxerre (89000),N/A,A définir,alizea89,30/09/2025,N/A,N/A,No,N/A,je suis actuellement sans emploi alors je recherche un travaille pour pouvoir aider les personne qui sont dans le besoins,listing_page,No,https://www.jemepropose.com/annonces/menage/je-me-proprose+10494698/
171,Montage vidéo anniversaire 40 ans – photos + vidéos + musique,Montage vidéo - Brindas (69126),N/A,A définir,Gilles brindas,29/09/2025,N/A,N/A,No,N/A,"bonjour,",listing_page,No,https://www.jemepropose.com/annonces/montage-video/montage-video-anniversaire-40-ans-photos-videos-musique+10494609/
172,Travaux aménagement maison,Bricolage - Barraute-Camu (64390),N/A,12.00 € - De l'heure,TEKATRI,29/09/2025,N/A,N/A,No,N/A,dans le cadre nouvel emménagement,listing_page,No,https://www.jemepropose.com/annonces/bricolage/travaux-amenagement-maison+10494607/
173,Recherche traiteur sur Faymoreau,Traiteur - Faymoreau (85240),N/A,A définir,BBouaye,25/09/2025,N/A,N/A,No,N/A,"Bonjour,",listing_page,No,https://www.jemepropose.com/annonces/traiteur/recherche-traiteur-sur-faymoreau+10494430/
174,recrute des decembre en cdi,Auxiliaire de vie - Tremblay-les-Villages (28170),N/A,13.00 € - De l'heure,michel28,25/09/2025,N/A,N/A,No,N/A,"cherche aux de vie véhiculée, dynamique et joie de vivre pour aide mr handicapé la cinquantaine les mardi  ou vendredi de 10h à 15h.  secteur...",listing_page,No,https://www.jemepropose.com/annonces/auxiliaire-de-vie/recrute-des-decembre-en-cdi+8466866/
175,Baby sitting,Baby-sitting - Auxerre (89000),N/A,280.00 € - À la semaine,hermione007,24/09/2025,N/A,N/A,No,N/A,Je suis à la recherche d'une baby sitting,listing_page,No,https://www.jemepropose.com/annonces/baby-sitting/baby-sitting+10494377/
176,Je recherche femme de ménage,Ménage - Trèbes (11800),N/A,15.00 € - De l'heure,Jérémy 77,24/09/2025,N/A,N/A,No,N/A,"Bonjour,",listing_page,No,https://www.jemepropose.com/annonces/menage/je-recherche-femme-de-menage+10494330/
177,AIDE MENAGERE,Ménage - Avon (77210),N/A,A définir,farenight,23/09/2025,N/A,N/A,No,N/A,"Sérieuse de confiance , nombreuses années d'expérience je cherche à compléter mon planningCESU OKpas de démarchage de sociétes....",listing_page,No,https://www.jemepropose.com/annonces/menage/aide-menagere+10494312/
178,gestion d'une maison,Gardiennage de domicile - Arnouville-lès-Gonesse (95400),N/A,A définir,Ntah15,23/09/2025,N/A,N/A,No,N/A,je recherche une personne disponible et très efficace pour gérer une maisonet qui sera très bien payé pour ces heures de travail,listing_page,No,https://www.jemepropose.com/annonces/gardiennage-de-domicile/gestion-dune-maison+10494259/
179,Soirée,Serveuse - Buchy (76750),N/A,A définir,Estelle Sm,22/09/2025,N/A,N/A,No,N/A,Je recherche 2 personnes pour le 25octobre pour une soirée d anniversaire,listing_page,No,https://www.jemepropose.com/annonces/serveuse/soiree+10494251/
